Finix Merchant Number,DBA,Action,,
MU3XYoBkypJtsybgAPLaN8L2,Russell Marine Products LLC,Update non amex to 25 bps,,
MU3xZKG47VFh31m95f45Z6AM,Greenway Enterprises Inc,Update non amex to 25 bps,,
MU3ysujVe2K6JAn8ghe7z7bp,Roberto Falck Photography,Update non amex to 25 bps,,
MU3ZXJCiy2mJSghqjMLRHxMv,Rockwater Associates LLC,Update non amex to 25 bps,,
MU41aSmFcqwx54Q8NAhVR1RD,"QM Ventures, LLC",Update non amex to 25 bps,,
MU41azpjV3gjq3D7NT9dwFz1,CARL NEAL,Update non amex to 25 bps,,
MU41zXBtkdiGs8knu5SEuu4F,DealerCue Automotive,Update non amex to 25 bps,,
MU42dHsLmS3ob41g88U3fz2f,Midwest Strength and Performance,Update non amex to 25 bps,,
MU42Ekwcj448o9BtR8STdCsb,Urban Fix LLC,Update non amex to 25 bps,,
MU43mcNRDeUBC76vc1dQ5BUB,Shlash Orthodontics LLC,Update non amex to 25 bps,,
MU43uyUZgZeLxoDY18VFpJdp,Majestic Beauty LLC,Update non amex to 25 bps,,
MU445yi4JjVpqWNf93dy2FoZ,"Pink Lotus Technologies, Inc.",Update non amex to 25 bps,,
MU448sCrZgxScb1npKM1LLBJ,George Hayden,Update non amex to 25 bps,,
MU48A1d1nbNv4Grew2pkwYob,Sandy Plains Pediatrics,Update non amex to 25 bps,,
MU49T6SrMLxkxHtxHdPaMi92,OKC Fabric Market LLC,Update non amex to 25 bps,,
MU49tFEkKWFWrnM7VoFBxBXY,Summit Horizon Financial,Update non amex to 25 bps,,
MU4A5s5kNYwoC68yJNAoYetW,Hughes Entertainment Inc,Update non amex to 25 bps,,
MU4a8NK9arGAVmvwZDQBcgvu,JKBVT LLC,Update non amex to 25 bps,,
MU4AewMs69ywE1refjtfVSyv,Orthopedic Centers of Colorado,Update non amex to 25 bps,,
MU4AV6srKY8ZvaVtrZFiZjZ9,BleuSal LLC,Update non amex to 25 bps,,
MU4BghMGAYY9NbVF6Namsi4S,Ageless Aesthetics and Infusion Bar LLC,Update non amex to 25 bps,,
MU4BLXxyZU3wEafLTC9Sdq7T,Edward Lee Green,Update non amex to 25 bps,,
MU4BrnCckN1TRV1EwZPmTqVk,Dynamic Image LLC,Update non amex to 25 bps,,
MU4buAwQBCYJR4xuGBqpHc31,"Humble Pi, LLC",Update non amex to 25 bps,,
MU4crcTWJD3bQ8UcTE1vrhot,VooDoo Nutrition,Update non amex to 25 bps,,
MU4dxAy8xowiHfScQ3tyEStd,King & King Law LLC,Update non amex to 25 bps,,
MU4E6Nbx167ToLCTJwGZQkqa,"Fixer Franks Property Services, LLC",Update non amex to 25 bps,,
MU4eb9nB5CeyhAT7SMxLaRMX,Quality Dental Care,Update non amex to 25 bps,,
MU4ei11WueU3Lf6qZkGPQiAX,CARL NEAL,Update non amex to 25 bps,,
MU4eiuWiyFEbjZrEcw2Kvkt7,"Ocean Janitorial Supply, Inc.",Update non amex to 25 bps,,
MU4ejMJgnGrAm69d8cU5k9Hq,Andrew Lermer,Update non amex to 25 bps,,
MU4fgghZqLSdCYGK793EMiKG,Vizion Water Inc,Update non amex to 25 bps,,
MU4Gzfd6ZeT8K4qby1Ufz8a4,Move and Store LLC,Update non amex to 25 bps,,
MU4H42NLEwpfvUxAQh864wu8,Ronan Power Products Inc,Update non amex to 25 bps,,
MU4hPmBc4TwFnKELv5DYAgAT,Forward Property Inspections,Update non amex to 25 bps,,
MU4jczCJegHLLWWpktmDdgSi,"First Call Plumbing, INC.",Update non amex to 25 bps,,
MU4jdtbU1gk8AbqtVpLAwXJ9,GLOBETROTTER TRANSIT,Update non amex to 25 bps,,
MU4knoy2mppcFQZLYiX8Lwe9,Michael Delaney,Update non amex to 25 bps,,
MU4mogLxzieyFEmmvw9EDQRL,Pinehurst Plastic Surgery Specialists PA,Update non amex to 25 bps,,
MU4mU6CCWwXagxYZHEQwykgo,Impressions Group LLC,Update non amex to 25 bps,,
MU4mVKgNkZLdAgAWaXzG5NDs,Next Level Restoration LLC,Update non amex to 25 bps,,
MU4MVUDLD7gQ7FKVBkmAYXr3,RCB ENT PLLC,Update non amex to 25 bps,,
MU4nSceDoGHX4zCTCdPrL1Ek,Kourosh Mehrabian and Associates D.D.S,Update non amex to 25 bps,,
MU4PTn1wVQnByV2TTNVeJT1z,Chartwell School,Update non amex to 25 bps,,
MU4RcDAYhUzDvNrgJa4FTcqf,C & N Construction,Update non amex to 25 bps,,
MU4RhbT9MvqkCCSfek7ahCvQ,JB Warranties Corp,Update non amex to 25 bps,,
MU4s1RfxAGGEKstUpG6zUWBy,Academic All Stars LLC,Update non amex to 25 bps,,
MU4sfEJ5P6SAN1PNmXjjtEK8,AM Dental Professionals PA,Update non amex to 25 bps,,
MU4sQDVdU4ZmYhKfVWo416S2,Snaidero USA,Update non amex to 25 bps,,
MU4sQf1vTg6G3i2hChhsotPP,Perich Aesthetics LLC,Update non amex to 25 bps,,
MU4swzcZXu25ZF6jXRVgXSH5,Riverside Storage LLC,Update non amex to 25 bps,,
MU4tNkg4NAawKvVtySjuWQwT,Marketing for MSPs LLC,Update non amex to 25 bps,,
MU4TxCquaJcBDddibe5WZzZ6,Premier Interventional Pain Management,Update non amex to 25 bps,,
MU4TxF5GB6WZPDsjnkkkq5FA,Top Quality Dog Food LLC,Update non amex to 25 bps,,
MU4tZvLpmWdHZXcdnBnPKAsk,Level 1 Roofing Inc,Update non amex to 25 bps,,
MU4UcTo2DX2E2KmNM4MZ8Msz,Catholic High School,Update non amex to 25 bps,,
MU4UcvnzyQTjysTsDiAjwGkQ,Rome Enterprises Inc,Update non amex to 25 bps,,
MU4Uf7DvGS9XwECQ52YVCK1k,AUTO TRAINING SOLUTIONS LLC,Update non amex to 25 bps,,
MU4uy7HsKNhZAwLjAc5AUdtd,Fattmerchant Inc,Update non amex to 25 bps,,
MU4WCRidVa4XLu89mQaxKkV6,Absolute Dentistry Ltd,Update non amex to 25 bps,,
MU4XggyeHx6Gy48P55krHThQ,"Tiger Management Company 1, LLC",Update non amex to 25 bps,,
MU4y8iRi8LCzPJGaZPnGE4dQ,Math Masters Inc,Update non amex to 25 bps,,
MU4yUaesrzC6e7yrJoF5kDbW,Sumtek Usa LLC,Update non amex to 25 bps,,
MU4Z17z75zdEwivUfxayJ6gR,Italia Mia Pizza Restaurant Inc,Update non amex to 25 bps,,
MU4zbAi7AgxcKfWZLdfzvq7Y,Pho VietFresh LLC,Update non amex to 25 bps,,
MU4zCVsQW5aApShWps3Kc6Tb,Parks Smokehouse BBQ LLC,Update non amex to 25 bps,,
MU52UnXg2DcMDnb5XzuTFpbi,ACE PACK & SHIP,Update non amex to 25 bps,,
MU54gt8888WMBrRDsFpQVgnc,"John F. Whitt, Jr. DDS PA",Update non amex to 25 bps,,
MU54s7inDUgfHe5KXACMsx3z,Vox Tandem LLC,Update non amex to 25 bps,,
MU54zxhvgdvaB2WFrB8yngFt,STC Addiction Wellness Center,Update non amex to 25 bps,,
MU557Sd1j7fA8zMnEHqrn99c,Mad4Cabinetry,Update non amex to 25 bps,,
MU558xTB4QVi72VKmUQsZWBf,The Reset Agency LLC,Update non amex to 25 bps,,
MU55ByxnCbycso5rDcypHbyD,Finishline Cabinets LLC,Update non amex to 25 bps,,
MU57TUvhei9pmJY8hVFhyAqh,Winners Tinting and Coating LLC,Update non amex to 25 bps,,
MU58D6BQk3vFXsdixuwQVea3,Wall Crawl LLC,Update non amex to 25 bps,,
MU59syzm6XpyE5cUCnAmBoGi,Rome Enterprises Inc,Update non amex to 25 bps,,
MU5abMtAkShRFcPb14En9CxZ,"Michael McCratic, MFT",Update non amex to 25 bps,,
MU5b9hPtp76X4RW14YUAp1FH,Advantage Testing,Update non amex to 25 bps,,
MU5BeHuysZtgDp4HTppjwu4v,Ethmane LLC,Update non amex to 25 bps,,
MU5bs8CESKdDUjNR4KZxE28E,Carlyle Tire LLC,Update non amex to 25 bps,,
MU5bTMyWgEspf33n9Hi18sqe,ProGen Medical,Update non amex to 25 bps,,
MU5CQhrK2Tc7z48H2Ar4Rd9K,BER Food Concepts LLC,Update non amex to 25 bps,,
MU5dPYkPAxZfEm2KSAkK2xvm,Dr Erika Leigh Johnson MD,Update non amex to 25 bps,,
MU5EAArpRHuBfybr4ZAdXB9E,"Greenfield Dental, PLLC",Update non amex to 25 bps,,
MU5eELDQ4AgDvN19MkcpK7r4,Young Family and Cosmetic Dentistry PC,Update non amex to 25 bps,,
MU5FHZgyJ5Qo4rvrxbhmFD3Y,"Oak Street Wholesale, Inc.",Update non amex to 25 bps,,
MU5FMk6gfjQ8HhJY9drhRMVx,SCD RMA LLC,Update non amex to 25 bps,,
MU5FwPEBRkFQAAkNwpQ7eaRN,A1 Freeman Moving,Update non amex to 25 bps,,
MU5gzZofqTGKurWHHLobburB,Murian Holdings Inc,Update non amex to 25 bps,,
MU5hULTuCrpEHKHARoFLGcFD,"Lookshop, LLC",Update non amex to 25 bps,,
MU5iWTL25F6UymXUPKhtaFuC,Spartan Education Group,Update non amex to 25 bps,,
MU5KCkwhbVcQFqbZuPxBDBAP,Mikes Wheel Alignment LLC,Update non amex to 25 bps,,
MU5LWpyAbfZy3peCspGKEhRo,Kwensy200 Inc,Update non amex to 25 bps,,
MU5MbqKLkgmJQCGx7nTfRrLi,Total Comfort Solutions LLC,Update non amex to 25 bps,,
MU5NruW9kE3KrypGJX7o2Qu,Young Roofing of Austin,Update non amex to 25 bps,,
MU5NV1HrLY4Fmt6At8RCMvgT,Clear Sky Systems LLC,Update non amex to 25 bps,,
MU5oMfaeYXiAR8dvHRZ448Xw,Transhare Corporation,Update non amex to 25 bps,,
MU5oMnh1gZVEDEZmhv1txYcr,Grandmas Handyman,Update non amex to 25 bps,,
MU5oY4V6f1qndpw7RtNNyKuJ,Connect Psychological Services,Update non amex to 25 bps,,
MU5PiZZTo4j3nTuCkwtDSHJU,Campbell Chiropractic,Update non amex to 25 bps,,
MU5QrFbJcLEQdxQtEAXaVGSF,Ali International LLC,Update non amex to 25 bps,,
MU5qSWFwmbXgXdTBqWfTS3P7,HRK Dental LLC,Update non amex to 25 bps,,
MU5R2h5wztZf9XASFZq2DCMw,Creed Archery Supply Inc,Update non amex to 25 bps,,
MU5RrecjCPEzrS1bA7fZV68v,Comfortco Inc,Update non amex to 25 bps,,
MU5sbDN7k53fEySVRMjQzH3u,"Agile Occupational Medicine, PC",Update non amex to 25 bps,,
MU5TpbV9FSDJcTwRr8rhgCQg,Brian Quimby,Update non amex to 25 bps,,
MU5UdhcyQJo4mCTscfk19by,Credentia Nurse Aide LLC,Update non amex to 25 bps,,
MU5uFawoBbijqqyowRWM6Yxc,Vain 304 Hydration and Wellness,Update non amex to 25 bps,,
MU5Y2eHvMQKLzJP5WzW3teTR,Telford Cooling LLC,Update non amex to 25 bps,,
MU5YaBWSAeW7zLPkxMkiTPMx,SDM SUB MANCHESTER LLC,Update non amex to 25 bps,,
MU5yEMsMGrWRe5uqqfY8izeT,"Evolve of Montclair, NJ",Update non amex to 25 bps,,
MU5Yvwgdt8kBvJkJfgacsC1A,"Hatem A Abou-Sayed, MD",Update non amex to 25 bps,,
MU5YvZdtq3FrMKTrP45PaKq,Shari Watt Designs,Update non amex to 25 bps,,
MU62Jyj7uhSLtPGvXTAaH5gg,David C Socol MD Inc,Update non amex to 25 bps,,
MU64AjJFSWjynYH3duu872ma,Stewart Floor LLC,Update non amex to 25 bps,,
MU64FfKzRRnjnGLvNAhAoNw6,Kendra Dale,Update non amex to 25 bps,,
MU65CAA29N4Etc4aGFqhbwL3,Bethel Family Baptist Church,Update non amex to 25 bps,,
MU67sdaCsysAzjGfeQokmQou,Hideaway Restaurant Inc,Update non amex to 25 bps,,
MU68YnYwiwbpphtkroaTsKYD,FEDDERS CONSTRUCTION LLC,Update non amex to 25 bps,,
MU69EDbQJ4z8wr97CgsZqgYS,Wayuga Community Newspapers Inc,Update non amex to 25 bps,,
MU69mPht4Qn5BSa1pCSJxn69,BetterYet Loyalty Inc.,Update non amex to 25 bps,,
MU6bBfYhTFfX94QN3DLwC9o8,RonJon Learning,Update non amex to 25 bps,,
MU6bfbn8TRt7NTyfgvfZLz8D,Siaan LLC,Update non amex to 25 bps,,
MU6C23ajgi8FjLa9FLrLqFL7,Mr Tortilla Inc,Update non amex to 25 bps,,
MU6Cf2PMcqvrRfMDqBSBazW6,Exact Construction and Restoration LLC,Update non amex to 25 bps,,
MU6cWr1KwNgd8nDDbsNvao9,Smalletics LLC,Update non amex to 25 bps,,
MU6dbmBTCR7tJxEkjTmBL73s,Naturallyou Westchester LLC,Update non amex to 25 bps,,
MU6Dgn5k9zqPNGaAGi8NNyip,"Brannon Jay Gunnell DDS, PLLC",Update non amex to 25 bps,,
MU6dwRDaUeUeyqTataNRDmYn,Nima Naghshineh MD,Update non amex to 25 bps,,
MU6dxeHTmrreu4SybUNkhySJ,Connie Post,Update non amex to 25 bps,,
MU6EB1x42wxZLXff8h5CgztA,"Tech Beauty Temple City, Inc",Update non amex to 25 bps,,
MU6f5q2YKLen5efuoGSL5a7b,Atlanta OsteoArthritis Center LLC,Update non amex to 25 bps,,
MU6FAw8LJ6ABFn6uJ8tLYPFX,Fit Kitchen By Jess LLC,Update non amex to 25 bps,,
